"#","Reference","Qty","Value","MANUFACTURER","Manufacturer Part #","Footprint","Description","Price (1 Component)","Link"
"1","C1","1","100nF","Murata Electronics","GCM188L81H104KA57D","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","Unpolarized capacitor","$0.14","https://www.digikey.com/en/products/detail/murata-electronics/GCM188L81H104KA57D/2591908?s=N4IgTCBcDaIOIGECyBGAHGgMmlAJFADACwDSAggKwDsAIiALoC%2BQA"
"2","C2","1","10uF","Murata Electronics","GCJ21BR71A106KE01L","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","$0.5","https://www.digikey.com/en/products/detail/murata-electronics/GCJ21BR71A106KE01L/4903511?s=N4IgTCBcDaIOIGEBSYCMAhASgdlQQVQAYA2AaQFFDUAZEAXQF8g"
"3","J1","1","Conn_01x07_Socket","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","Generic connector, single row, 01x07, script generated","",""
"4","U1","1","AS5048A","ams OSRAM AG","AS5048A-HTSP-500","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","Magnetic position sensor, 14-bit, PWM output, SPI Interface, TSSOP-14","$8.8","https://www.digikey.com/en/products/detail/ams-osram-ag/AS5048A-HTSP-500/3188615?s=N4IgTCBcDaIIIGUCsAGALADjgWgBIBUEAFbVFEAXQF8g"
